Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,
BUENOS AIRES,Salto,Inés Indart,6714040,- 0,- 0,- 0,15,189,2,- 0,- 0,206,
BUENOS AIRES,Salto,Salto,6714060,966,1.325,1,7.636,- 0,- 0,- 0,- 0,9.928,
BUENOS AIRES,San Andrés de Giles,Azcuénaga,6728010,- 0,- 0,- 0,55,7,- 0,- 0,54,116,
BUENOS AIRES,San Andrés de Giles,San Andrés de Giles,6728040,482,644,1,3.718,486,1,- 0,- 0,5.332,
BUENOS AIRES,San Andrés de Giles,Solís,6728050,46,- 0,- 0,262,- 0,1,- 0,107,416,
BUENOS AIRES,San Andrés de Giles,Villa Ruiz,6728070,- 0,- 0,- 0,140,- 0,- 0,- 0,86,226,
BUENOS AIRES,San Andrés de Giles,Villa Espil,6728060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,104,104,
BUENOS AIRES,San Andrés de Giles,Cucullú,6728020,- 0,- 0,- 0,- 0,218,- 0,- 0,24,242,
BUENOS AIRES,San Antonio de Areco,San Antonio de Areco,6735020,1.265,4.166,5,10,- 0,2,- 0,2.223,7.671,
BUENOS AIRES,San Antonio de Areco,Villa Lía,6735030,356,- 0,- 0,- 0,- 0,- 0,- 0,56,412,
BUENOS AIRES,San Antonio de Areco,Duggan,6735010,- 0,- 0,- 0,231,- 0,- 0,- 0,278,509,
BUENOS AIRES,San Cayetano,Balneario San Cayetano,6742010,- 0,- 0,- 0,113,- 0,- 0,- 0,1,114,
BUENOS AIRES,San Cayetano,San Cayetano,6742030,146,984,- 0,902,- 0,- 0,- 0,268,2.300,
BUENOS AIRES,San Cayetano,Ochandío,6742020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,15,15,
BUENOS AIRES,San Fernando,San Fernando,6749010,4.117,17.378,2,4.616,13,- 0,- 0,109,26.235,
BUENOS AIRES,San Fernando,Victoria,6749010,2.084,12.826,2,446,5,2,- 0,1,15.366,
BUENOS AIRES,San Fernando,Virreyes,6749010,1.065,8.469,- 0,824,1,- 0,- 0,- 0,10.359,
BUENOS AIRES,San Isidro,Acassuso,6756010,366,5.359,1,36,1,1,- 0,- 0,5.764,
BUENOS AIRES,San Isidro,Beccar,6756010,2.839,15.456,- 0,321,4,- 0,- 0,80,18.700,
BUENOS AIRES,San Isidro,Boulogne Sur Mer,6756010,2.328,19.685,4,608,13,- 0,- 0,3,22.641,
BUENOS AIRES,San Isidro,Martínez,6756010,2.608,25.148,54,1.734,13,1,- 0,1,29.559,
BUENOS AIRES,San Isidro,San Isidro,6756010,1.394,20.514,3,135,16,1,- 0,1,22.064,
BUENOS AIRES,San Isidro,Villa Adelina,6756010,1.247,11.011,- 0,292,7,- 0,- 0,- 0,12.557,
BUENOS AIRES,San Miguel,Bella Vista,6760010,120,3.363,39,7.743,10,2,- 0,1.201,12.478,
BUENOS AIRES,San Miguel,Campo De Mayo,6760010,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2,
BUENOS AIRES,San Miguel,Muñiz,6760010,280,3.043,5,1.850,- 0,- 0,- 0,- 0,5.178,
BUENOS AIRES,San Miguel,San Miguel,6760010,524,79.664,63,13.983,47,2,- 0,121,94.404,
BUENOS AIRES,San Nicolás,Conesa,6763010,670,- 0,- 0,- 0,- 0,1,- 0,- 0,671,
BUENOS AIRES,San Nicolás,Erézcano,6763020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,108,108,
BUENOS AIRES,San Nicolás,General Rojo,6763030,- 0,- 0,- 0,608,- 0,1,- 0,- 0,609,
BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,6763050,10.337,21.811,2,85,- 0,2,- 0,53,32.290,
BUENOS AIRES,San Pedro,Río Tala,6770040,- 0,- 0,- 0,2,237,- 0,- 0,- 0,239,
BUENOS AIRES,San Pedro,San Pedro,6770050,3.462,6.104,- 0,4.300,78,3,- 0,78,14.025,
BUENOS AIRES,San Pedro,Santa Lucía,6770060,- 0,- 0,- 0,3,- 0,2,- 0,- 0,5,
BUENOS AIRES,San Vicente,Alejandro Korn,6778020,202,3.612,4,5.864,5,- 0,- 0,332,10.019,
BUENOS AIRES,San Vicente,Domselaar,6778020,- 0,430,- 0,- 0,- 0,- 0,- 0,52,482,
BUENOS AIRES,San Vicente,San Vicente,6778020,1.218,3.765,4,459,1,- 0,- 0,217,5.664,
BUENOS AIRES,Suipacha,General Rivas,6784010,96,- 0,- 0,- 0,- 0,- 0,- 0,114,210,
BUENOS AIRES,Suipacha,Suipacha,6784020,289,- 0,2,2.807,- 0,- 0,- 0,283,3.381,
BUENOS AIRES,Tandil,De la Canal,6791010,- 0,- 0,- 0,- 0,5,- 0,- 0,59,64,
BUENOS AIRES,Tandil,Gardey,6791030,- 0,- 0,- 0,225,35,- 0,- 0,21,281,
BUENOS AIRES,Tandil,María Ignacia  (Est. Vela),6791040,268,- 0,- 0,- 0,- 0,- 0,- 0,25,293,
BUENOS AIRES,Tandil,OTROS,Sin datos,- 0,- 0,- 0,- 0,45,- 0,- 0,- 0,45,
BUENOS AIRES,Tandil,Tandil,6791050,3.223,36.666,203,2.983,75,3,- 0,736,43.889,
BUENOS AIRES,Tandil,Desvío Aguirre,6791050,- 0,- 0,- 0,10,- 0,- 0,- 0,1,11,
BUENOS AIRES,Tapalqué,Tapalqué,6798020,- 0,- 0,- 0,2,- 0,1,- 0,- 0,3,
BUENOS AIRES,Tigre,Benavídez,6805010,852,9.984,- 0,6.776,- 0,5,- 0,1.512,19.129,
BUENOS AIRES,Tigre,Dique Luján,6805010,53,2.161,- 0,- 0,- 0,- 0,- 0,85,2.299,
BUENOS AIRES,Tigre,Don Torcuato Este,6805010,2.201,14.166,3,7.416,6,- 0,- 0,3,23.795,
BUENOS AIRES,Tigre,El Talar,6805010,768,8.537,- 0,4.631,2,1,- 0,81,14.020,
BUENOS AIRES,Tigre,General Pacheco,6805010,2.578,12.446,1,2.181,7,2,- 0,2,17.217,
BUENOS AIRES,Tigre,Los Troncos Del Talar,6805010,924,7.215,- 0,1.788,- 0,1,- 0,- 0,9.928,
BUENOS AIRES,Tigre,OTROS,Sin datos,- 0,- 0,- 0,2,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Tigre,Ricardo Rojas,6805010,1.120,4.281,- 0,1.147,6,- 0,- 0,- 0,6.554,
BUENOS AIRES,Tigre,Rincón de Milberg,6805010,2.561,8.833,- 0,929,- 0,- 0,- 0,45,12.368,
BUENOS AIRES,Tigre,Tigre,6805010,1.138,20.487,- 0,3.750,6,5,- 0,175,25.561,
BUENOS AIRES,Tordillo,General Conesa,6812010,38,227,- 0,- 0,- 0,- 0,- 0,63,328,
BUENOS AIRES,Tordillo,Villa Roch,6812010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,11,11,
BUENOS AIRES,Tornquist,Saldungaray,6819020,- 0,- 0,- 0,466,- 0,- 0,- 0,- 0,466,
BUENOS AIRES,Tornquist,Sierra de la Ventana,6819030,- 0,486,- 0,621,- 0,- 0,- 0,- 0,1.107,
BUENOS AIRES,Tornquist,Tornquist,6819040,136,966,- 0,1.461,- 0,1,- 0,- 0,2.564,
BUENOS AIRES,Tornquist,Villa Serrana La Gruta,6819060,- 0,119,- 0,- 0,- 0,- 0,- 0,- 0,119,
BUENOS AIRES,Tornquist,Villa Ventana,6819070,475,- 0,- 0,- 0,- 0,- 0,- 0,- 0,475,
BUENOS AIRES,Trenque Lauquen,30 de Agosto,6826040,- 0,184,- 0,1.365,2.376,- 0,- 0,- 0,3.925,
BUENOS AIRES,Trenque Lauquen,OTROS,Sin datos,- 0,- 0,- 0,- 0,- 0,4,- 0,- 0,4,
BUENOS AIRES,Trenque Lauquen,Trenque Lauquen,6826050,3.159,787,70,10.129,- 0,1,- 0,1.241,15.387,
BUENOS AIRES,Trenque Lauquen,Girodias,6826020,46,- 0,- 0,- 0,- 0,- 0,- 0,2,48,
BUENOS AIRES,Trenque Lauquen,La Carreta,6826030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,Trenque Lauquen,Trongé,6826060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,Trenque Lauquen,Berutti,6826010,- 0,- 0,- 0,273,- 0,- 0,- 0,- 0,273,
BUENOS AIRES,Tres Arroyos,Claromecó,6833020,329,- 0,- 0,595,- 0,1,- 0,734,1.659,
BUENOS AIRES,Tres Arroyos,Copetonas,6833030,- 0,- 0,- 0,1,- 0,- 0,- 0,89,90,
BUENOS AIRES,Tres Arroyos,Lin Calel,6833040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,11,11,
BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,- 0,- 0,- 0,1,- 0,- 0,- 0,155,156,
BUENOS AIRES,Tres Arroyos,Orense,6833060,- 0,- 0,1,246,407,- 0,- 0,146,800,
BUENOS AIRES,Tres Arroyos,Reta,6833070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,224,224,
BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,6833080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,120,120,
BUENOS AIRES,Tres Arroyos,San Mayol,6833090,- 0,- 0,- 0,- 0,9,- 0,- 0,11,20,
BUENOS AIRES,Tres Arroyos,Tres Arroyos,6833100,1.440,14.323,61,1.529,- 0,1,- 0,903,18.257,
BUENOS AIRES,Tres De Febrero,11 De Septiembre,6840010,49,1.054,- 0,5,1,1,- 0,- 0,1.110,
BUENOS AIRES,Tres De Febrero,Caseros,6840010,3.956,21.332,2,8.348,25,- 0,- 0,2,33.665,
BUENOS AIRES,Tres De Febrero,Churruca,6840010,27,724,- 0,1.426,- 0,- 0,- 0,- 0,2.177,
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,703,4.902,- 0,768,2,- 0,- 0,- 0,6.375,
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,385,11.314,68,13.570,53,3,- 0,4,25.397,
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,332,2.100,- 0,2,- 0,- 0,- 0,- 0,2.434,
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,192,1.831,- 0,506,3,- 0,- 0,5,2.537,
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,1.787,5.179,- 0,58,18,- 0,- 0,- 0,7.042,
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,315,4.726,1,2.453,6,- 0,- 0,- 0,7.501,
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,1.675,3.137,- 0,11,12,- 0,- 0,438,5.273,
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,253,2.570,- 0,6.817,16,- 0,- 0,- 0,9.656,
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,412,4.769,- 0,923,- 0,1,- 0,1,6.106,
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,467,5.836,- 0,1.269,8,- 0,- 0,1,7.581,
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,435,6.764,- 0,5.374,3,- 0,- 0,- 0,12.576,
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,189,1.950,- 0,629,3,- 0,- 0,- 0,2.771,
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,104,724,1,136,319,- 0,- 0,94,1.378,
BUENOS AIRES,Vicente López,Carapachay,6861010,1.224,5.373,1,1.903,2,- 0,- 0,- 0,8.503,
BUENOS AIRES,Vicente López,Florida,6861010,1.833,15.560,2,4.853,6,- 0,- 0,2,22.256,
BUENOS AIRES,Vicente López,Florida Oeste,6861010,286,5.430,- 0,2.949,5,1,- 0,245,8.916,
BUENOS AIRES,Vicente López,La Lucila,6861010,427,4.511,1,783,1,- 0,- 0,- 0,5.723,
BUENOS AIRES,Vicente López,Munro,6861010,838,9.053,8,5.289,10,1,- 0,1,15.200,
BUENOS AIRES,Vicente López,Olivos,6861010,1.854,25.390,5,7.341,10,1,- 0,- 0,34.601,
BUENOS AIRES,Vicente López,Vicente López,6861010,440,10.380,3,2.220,17,- 0,- 0,1,13.061,
BUENOS AIRES,Vicente López,Villa Adelina,6861010,- 0,563,- 0,868,- 0,- 0,- 0,- 0,1.431,
BUENOS AIRES,Vicente López,Villa Martelli,6861010,1.110,5.237,1,4.555,3,- 0,- 0,375,11.281,
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,6.460,- 0,- 0,4.547,80,- 0,- 0,- 0,11.087,
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,- 0,- 0,2,- 0,- 0,- 0,- 0,82,84,
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,129,- 0,- 0,483,- 0,- 0,- 0,- 0,612,
BUENOS AIRES,Villarino,Médanos,6875060,406,375,2,1,- 0,- 0,- 0,103,887,
BUENOS AIRES,Villarino,Pedro Luro,6875070,395,582,- 0,1.664,1,- 0,- 0,550,3.192,
BUENOS AIRES,Villarino,Argerich,6875010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,29,29,
BUENOS AIRES,Villarino,Teniente Origone,6875080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Villarino,Country Los Medanos,6875025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,267,267,
BUENOS AIRES,Zárate,Lima,6882040,1,1.833,- 0,1,- 0,- 0,- 0,- 0,1.835,
BUENOS AIRES,Zárate,Zárate,6882050,3.743,23.018,- 0,106,700,5,- 0,982,28.554,
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,102.290,1.217.225,2.163,62.308,27.708,63,- 0,5.784,1.417.541,
CATAMARCA,Ambato,El Bolsón,10007030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,El Rodeo,10007040,- 0,- 0,- 0,- 0,- 0,1,- 0,152,153,
CATAMARCA,Ambato,La Puerta,10007060,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,5,
CATAMARCA,Ambato,Las Chacritas,10007070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,Los Varela,10007110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,Los Talas,10007100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66,66,
CATAMARCA,Ancasti,Ancasti,10014010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Andalgalá,Andalgalá,10021020,862,- 0,- 0,144,1,2,- 0,203,1.212,
CATAMARCA,Andalgalá,Chaquiago,10021030,- 0,- 0,- 0,9,- 0,1,- 0,14,24,
CATAMARCA,Andalgalá,El Potrero,10021070,- 0,- 0,- 0,13,- 0,- 0,- 0,- 0,13,
CATAMARCA,Andalgalá,Aconquija,Sin datos,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Andalgalá,El Alamito,10021050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
CATAMARCA,Andalgalá,La Aguada,10021080,- 0,- 0,- 0,11,- 0,- 0,- 0,5,16,
CATAMARCA,Andalgalá,La Mesada,Sin datos,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1,
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6,
CATAMARCA,Belén,Belén,10035020,- 0,- 0,- 0,- 0,- 0,4,- 0,- 0,4,
CATAMARCA,Belén,Hualfín,10035070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,Londres,10035110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,El Durazno,10035050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,Las Juntas,10035100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Belén,Puerta de San José,10035140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Capayán,10042030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Chumbicha,10042040,162,- 0,- 0,5,- 0,1,- 0,474,642,
CATAMARCA,Capayán,Colonia del Valle,10042050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,- 0,- 0,- 0,10,- 0,1,- 0,9,20,
CATAMARCA,Capayán,Coneta,10042080,- 0,- 0,- 0,10,- 0,1,- 0,- 0,11,
CATAMARCA,Capayán,Huillapima,10042100,- 0,- 0,- 0,5,- 0,2,- 0,9,16,
CATAMARCA,Capayán,Miraflores,10042120,- 0,- 0,- 0,7,- 0,2,- 0,10,19,
CATAMARCA,Capayán,San Martín,10042130,- 0,- 0,- 0,- 0,- 0,7,- 0,- 0,7,
CATAMARCA,Capayán,Los Angeles,10042110,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Capital,El Pantanillo,10049020,12,- 0,- 0,- 0,- 0,2,- 0,- 0,14,
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,11.917,15.517,1,25.128,- 0,1,- 0,13,52.577,
CATAMARCA,El Alto,El Alto,10056010,- 0,- 0,- 0,- 0,- 0,1,- 0,28,29,
CATAMARCA,El Alto,Tapso,10056050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,La Paz,Icaño,10070070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,La Paz,Recreo,10070140,608,- 0,- 0,- 0,- 0,1,- 0,5,614,
CATAMARCA,La Paz,San Antonio,10070150,- 0,- 0,- 0,- 0,- 0,- 0,- 0,26,26,
CATAMARCA,La Paz,Quirós,10070120,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
CATAMARCA,Paclín,La Merced,10077050,75,- 0,- 0,- 0,- 0,4,- 0,5,84,
CATAMARCA,Paclín,La Viña,10077060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
CATAMARCA,Paclín,Las Lajas,10077070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Paclín,San Antonio,10077100,- 0,- 0,- 0,- 0,- 0,1,- 0,7,8,
CATAMARCA,Pomán,Mutquin,10084060,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Pomán,Pomán,10084070,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CATAMARCA,Pomán,San Miguel,10084090,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
CATAMARCA,Pomán,Saujil,10084100,- 0,- 0,- 0,- 0,- 0,1,- 0,169,170,
CATAMARCA,Pomán,Siján,10084110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Pomán,Colpes,10084030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
CATAMARCA,Santa María,La Loma,10091100,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa María,San José,10091140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa María,Santa María,10091150,- 0,- 0,- 0,- 0,2.151,1,- 0,- 0,2.152,
CATAMARCA,Santa Rosa,Alijilán,10098010,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa Rosa,Lavalle,10098040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa Rosa,Los Altos,10098050,- 0,- 0,- 0,- 0,- 0,1,- 0,6,7,
CATAMARCA,Tinogasta,Fiambalá,10105110,- 0,- 0,- 0,8,- 0,1,- 0,7,16,
CATAMARCA,Tinogasta,Tinogasta,10105180,545,- 0,- 0,1.828,- 0,2,- 0,- 0,2.375,
CATAMARCA,Valle Viejo,El Portezuelo,10112010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6,
CATAMARCA,Valle Viejo,San Isidro,10112040,- 0,- 0,- 0,808,- 0,- 0,- 0,5,813,
CATAMARCA,Valle Viejo,Santa Rosa,Sin datos,- 0,- 0,- 0,759,- 0,- 0,- 0,5,764,
CATAMARCA,Valle Viejo,Villa Dolores,Sin datos,- 0,- 0,- 0,103,- 0,- 0,- 0,5,108,
CATAMARCA,Valle Viejo,Sumalao,Sin datos,- 0,- 0,- 0,1,- 0,- 0,- 0,5,6,
CATAMARCA,Valle Viejo,Polcos,Sin datos,- 0,- 0,- 0,213,- 0,- 0,- 0,- 0,213,
CATAMARCA,Valle Viejo,Pozo Del Mistol,Sin datos,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,18,
CATAMARCA,Valle Viejo,El Bañado,Sin datos,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
CATAMARCA,Fray Mamerto Esquiú,San Antonio,Sin datos,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,La Carrera,Sin datos,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,El Hueco,Sin datos,- 0,- 0,- 0,26,- 0,- 0,- 0,- 0,26,
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,Sin datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Fray Mamerto Esquiú,La Tercena,Sin datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CHACO,12 de Octubre,Gancedo,22036010,- 0,- 0,- 0,22,- 0,2,- 0,76,100,
CHACO,12 de Octubre,General Pinedo,22036030,221,- 0,- 0,460,- 0,2,- 0,- 0,683,
CHACO,1º de Mayo,Colonia Benítez,22126020,157,- 0,- 0,- 0,- 0,1,- 0,2,160,
CHACO,1º de Mayo,Margarita Belén,22126030,411,- 0,- 0,190,- 0,- 0,- 0,77,678,
CHACO,2 de Abril,Hermoso Campo,22039010,- 0,28,- 0,192,- 0,1,- 0,- 0,221,
CHACO,2 de Abril,Itín,22039020,- 0,- 0,- 0,30,478,- 0,- 0,- 0,508,
CHACO,25 de Mayo,Colonia Aborigen,22168010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,21,21,
CHACO,25 de Mayo,Machagai,22168020,427,311,- 0,33,- 0,- 0,- 0,282,1.053,
CHACO,9 de Julio,Las Breñas,22105010,1.407,- 0,- 0,83,- 0,1,- 0,- 0,1.491,
CHACO,Almirante Brown,Concepción del Bermejo,22007010,- 0,- 0,- 0,370,- 0,2,- 0,230,602,
CHACO,Almirante Brown,Los Frentones,22007020,- 0,- 0,- 0,338,- 0,1,- 0,- 0,339,
CHACO,Almirante Brown,Pampa del Infierno,22007030,- 0,- 0,- 0,1.373,- 0,6,- 0,65,1.444,
CHACO,Almirante Brown,Taco Pozo,22007050,- 0,- 0,- 0,364,- 0,3,- 0,- 0,367,
CHACO,Bermejo,General Vedia,22014010,159,- 0,- 0,43,- 0,1,- 0,205,408,
CHACO,Bermejo,Isla del Cerrito,22014020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,Bermejo,La Leonesa,22014030,588,- 0,- 0,- 0,- 0,- 0,- 0,228,816,
CHACO,Bermejo,Las Palmas,22014040,- 0,- 0,- 0,52,- 0,1,- 0,306,359,
CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,- 0,- 0,- 0,10,- 0,- 0,- 0,51,61,
CHACO,Bermejo,Puerto Eva Perón,22014070,- 0,- 0,- 0,12,- 0,1,- 0,41,54,
CHACO,Chacabuco,Charata,22028010,2.073,- 0,- 0,1.167,- 0,2,- 0,229,3.471,
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,5.538,2.936,- 0,1.224,24,2,- 0,116,9.840,
CHACO,Fray Justo Santa María De Oro,Chorotis,22043010,- 0,- 0,- 0,- 0,25,- 0,- 0,- 0,25,
CHACO,Fray Justo Santa María De Oro,OTROS,Sin datos,- 0,- 0,- 0,- 0,60,- 0,- 0,- 0,60,
CHACO,Fray Justo Santa María De Oro,Santa Sylvina,22043020,- 0,32,- 0,10,950,1,- 0,- 0,993,
CHACO,General Belgrano,Corzuela,22049010,170,- 0,- 0,42,- 0,1,- 0,28,241,
CHACO,General Donovan,La Escondida,22056010,54,209,- 0,- 0,- 0,2,- 0,117,382,
CHACO,General Donovan,La Verde,22056020,18,27,- 0,10,305,2,- 0,- 0,362,
CHACO,General Donovan,Lapachito,22056030,1,27,- 0,- 0,- 0,- 0,- 0,- 0,28,
CHACO,General Donovan,Makallé,22056040,40,370,- 0,- 0,- 0,1,- 0,- 0,411,
CHACO,General Güemes,El Espinillo,22063010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,General Güemes,El Sauzal,22063020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,62,62,
CHACO,General Güemes,El Sauzalito,22063030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,General Güemes,Fortín Lavalle,22063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,36,36,
CHACO,General Güemes,Fuerte Esperanza,22063050,- 0,- 0,- 0,15,- 0,- 0,- 0,- 0,15,
CHACO,General Güemes,Juan José Castelli,22063060,682,- 0,- 0,337,- 0,- 0,- 0,664,1.683,
CHACO,General Güemes,Miraflores,22063070,- 0,- 0,- 0,10,- 0,- 0,- 0,551,561,
CHACO,General Güemes,Nueva Pompeya,22063080,- 0,- 0,- 0,1,- 0,3,- 0,308,312,
CHACO,General Güemes,Villa Río Bermejito,22063100,4,- 0,- 0,199,- 0,2,- 0,222,427,
CHACO,General Güemes,Wichi,22063110,- 0,- 0,- 0,- 0,- 0,- 0,- 0,91,91,
CHACO,Independencia,Avia Terai,22070010,97,- 0,- 0,24,- 0,1,- 0,- 0,122,
CHACO,Independencia,Campo Largo,22070020,138,- 0,- 0,466,3,- 0,- 0,- 0,607,
CHACO,Libertad,Laguna Blanca,22077030,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHACO,Libertad,Puerto Tirol,22077040,573,- 0,- 0,166,- 0,- 0,- 0,163,902,
CHACO,Libertador General San Martín,Ciervo Petiso,22084010,- 0,- 0,- 0,- 0,- 0,1,- 0,97,98,
CHACO,Libertador General San Martín,General José de San Martín,22084020,584,1.133,- 0,5.023,- 0,- 0,- 0,450,7.190,
CHACO,Libertador General San Martín,La Eduvigis,22084030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,Libertador General San Martín,Laguna Limpia,22084040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,32,32,
CHACO,Libertador General San Martín,Pampa Almirón,22084050,- 0,- 0,- 0,18,- 0,- 0,- 0,55,73,
CHACO,Libertador General San Martín,Pampa del Indio,22084060,- 0,- 0,- 0,12,- 0,2,- 0,757,771,
CHACO,Libertador General San Martín,Presidencia Roca,22084070,- 0,- 0,- 0,4,- 0,2,- 0,196,202,
CHACO,Maipú,Tres Isletas,22091010,485,- 0,- 0,10,- 0,- 0,- 0,99,594,
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,122,73,- 0,270,- 0,1,- 0,516,982,
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,- 0,- 0,- 0,10,- 0,1,- 0,- 0,11,
